DEF A 50000
243871 340
289161 228
98884 457
360557 781
148359 195
357800 -909
288560 -536
427282 959
193773 171
125790 -929
280071 -661
174239 -460
32944 -93
245736 722
239574 581
145636 797
271273 150
219026 -490
392607 935
422291 318
357482 -557
11409 -605
480908 -308
306706 33
98215 -504
359104 -361
12835 344
281179 779
282251 -85
195853 -823
174848 842
37974 -527
308992 352
348983 599
369288 627
275269 -230
84070 -321
389165 330
241723 871
272363 938
128368 820
234577 555
197516 -892
219687 -881
75375 892
34296 -777
289734 -378
212697 78
361975 -968
333029 263
365659 -701
474385 -918
394978 551
47412 53
75774 776
9343 -506
483948 921
394402 464
276029 -559
177583 405
62333 879
117980 -580
316853 29
483498 -172
425062 -472
426443 73
424827 -171
273155 -843
280732 -432
489210 -494
156696 -447
93353 -356
258826 -893
322108 208
134548 -957
418965 -119
244274 297
65301 127
400327 152
256308 741
381680 -249
165166 -141
83580 -678
175368 -688
275242 -70
237171 938
195835 -124
88934 -338
350983 42
22222 531
443437 539
198764 711
10836 -582
248838 515
345570 146
285608 250
187898 -225
66461 830
389097 829
168495 -661
439111 -982
112629 -54
268894 563
105960 877
128957 -466
121760 -606
102073 -476
260105 262
100942 295
73129 -488
46794 -262
190114 44
325865 -73
38874 314
31108 721
395653 -781
145739 -366
105166 -367
226197 478
50862 506
372013 -26
460252 -914
9499 -643
119700 -207
262004 -170
89658 -202
67920 -876
59842 785
85404 69
125099 -488
338790 104
103084 -470
61738 -398
415515 -713
452080 -622
192145 -907
171704 -603
314532 555
389106 -768
324349 110
143414 -641
476261 334
242835 -545
105119 -761
167524 -430
461104 -333
283674 -812
7197 764
288790 64
166051 -130
405442 -452
81316 147
26945 -800
274702 -949
346432 403
67162 -801
62114 775
217533 -50
112230 5
133189 755
101927 -707
302422 602
158481 971
263718 623
265035 770
220846 -170
304318 -838
280329 616
230714 383
263667 498
203139 181
99697 253
406956 583
70203 187
188940 393
315294 -133
314038 716
192821 -128
460039 -460
452495 74
402662 693
428256 332
8207 -415
70948 -79
296321 -384
332420 460
181797 -883
264713 106
282052 -83
124293 -8
54662 587
261860 52
73655 33
373924 -954
427573 -228
275120 -765
32465 729
53568 -327
444666 -484
279594 -13
475484 -986
240447 634
60484 161
278740 -464
356430 385
313529 444
375324 741
312496 -21
62774 -227
499025 -300
45545 -503
336935 -638
26578 -145
135035 245
47724 -18
212232 208
42996 -320
213194 832
474193 -714
462369 -25
427671 -750
290771 -5
400343 619
268326 469
322392 703
486169 -711
90553 457
478652 131
246312 -961
88376 -964
61021 -391
333597 -630
269641 143
240202 834
71430 -77
107161 453
27525 932
334801 868
17551 127
407338 -704
403183 859
256937 736
249316 941
127219 629
381981 596
306017 354
32557 966
79724 -802
219110 -721
62384 -460
71554 897
322345 80
83829 146
26948 732
276626 -362
490380 809
360498 318
189897 -834
499259 116
138147 240
49064 -835
356947 621
116483 -329
400171 593
289302 -93
142485 -143
164804 -169
476289 -367
121977 237
382718 -45
470228 98
111116 -274
120416 13
473244 676
134482 392
17268 898
55557 -785
297872 -608
327239 -957
23986 -107
176951 -529
493750 755
147654 -961
106741 984
489629 459
200939 857
378909 -944
306935 678
129421 -469
135354 -745
407923 -26
480154 832
59542 -974
168225 -219
492421 -789
36026 372
375034 777
27480 41
16168 -779
325025 -851
140032 -684
498358 293
370724 645
50971 -854
118177 -323
280401 -900
371652 -445
5933 546
54933 -842
350679 355
382721 -295
233079 -893
432834 -441
313148 355
411132 -475
487504 516
196842 -785
102810 566
323860 781
84064 -611
356459 -534
484490 -537
141373 -225
192009 -341
197285 -312
260014 -994
429393 445
370465 -772
270005 614
327583 137
338139 439
248654 333
333654 816
135252 867
21597 316
132256 -592
100134 98
138871 860
139873 -120
470519 510
389920 -115
449868 666
256330 -666
214246 -313
20300 -819
223825 -561
389620 -169
426125 627
372999 377
413494 -404
280693 -898
289005 180
195201 -772
155040 426
291461 911
204937 381
388796 -195
17047 478
475139 293
204166 439
289474 -657
370231 447
433174 -292
451426 -475
374085 -80
217121 130
443374 -522
68310 -425
466707 702
490002 -832
381613 291
455901 -591
366096 -51
431888 588
220594 -946
369379 -579
80397 962
221868 923
68670 294
352448 107
54566 921
146590 940
124752 -100
152868 459
454603 222
365979 -784
386865 880
122978 313
311181 -134
143253 776
207272 -367
58197 -979
284947 -583
350296 970
486063 -256
345429 -19
305017 -981
71273 769
206920 -507
37580 875
399715 559
30443 -68
241792 421
72246 -27
224639 499
84749 911
244484 298
252284 432
472067 -420
415754 -518
321676 183
47815 -306
253203 89
72815 -525
375934 -604
170702 -998
30307 145
94934 -901
354567 180
325073 558
382680 -826
43822 164
101825 -894
172948 -756
398687 -298
64727 -637
366238 -458
363409 793
247983 -775
128620 918
62973 322
415920 280
467 206
365380 386
194387 -547
466945 67
132979 119
220583 -196
323225 532
325049 912
498586 -872
458628 -176
35022 -963
16969 358
274614 589
423276 587
444911 548
430868 731
382754 -400
333117 493
19405 -586
186912 -616
343533 496
403541 111
317380 -58
405023 966
151070 -997
197143 -908
218393 -536
1802 7
376054 78
346947 -35
296978 -833
282696 -915
106767 -834
289578 -828
464932 -157
294908 -182
400339 -551
7929 719
443391 304
50037 -187
309308 532
313258 701
493997 60
37060 -949
256491 -641
207368 469
194526 -583
265906 645
154935 837
443817 867
64680 78
444685 19
453527 -34
199090 271
398271 479
24084 579
45364 342
251632 361
152403 44
425764 -106
205404 132
478715 -718
155901 -378
233928 -164
316459 -903
447056 491
449175 -907
378862 -297
377060 -696
332326 331
359783 -590
499262 147
193753 246
460860 -492
72290 -376
271402 -954
36109 -883
210329 -990
11091 -743
19199 902
138354 -393
241393 530
390700 -745
6585 -888
214559 -89
59443 -305
211673 57
495842 426
342303 -297
284286 -406
359679 688
208640 788
322158 321
104151 249
379578 702
193504 -715
122309 -103
138167 9
71505 104
297122 -936
15 -83
393111 -960
447975 306
149819 -722
378361 -895
221224 -960
489794 -783
150181 -696
381538 -668
177905 117
394034 409
311754 -657
306307 921
45704 812
111025 178
180228 392
232096 692
355432 -577
494998 603
3053 359
455709 -722
111399 855
170495 580
290159 -615
32264 -936
345854 -702
355826 608
458993 -867
123881 50
56297 258
380228 -123
378650 -324
342569 -565
325099 919
272038 -847
227278 -901
68783 30
205954 630
116610 -535
324015 -125
496882 870
91525 -292
343830 -129
31193 712
87921 842
218970 -851
356719 973
113178 641
380760 -723
69560 150
282782 191
413250 565
168221 556
123547 -169
148022 563
450058 256
133785 936
13964 615
141159 509
461679 80
165351 -350
213581 -578
294623 -241
254063 735
281389 976
360885 -829
169519 -865
432089 740
426044 636
138923 -934
19551 334
235322 336
179622 638
147304 -219
327147 -17
66213 -502
289633 -854
47272 -392
122906 688
292343 -353
157664 581
1170 183
443716 259
181275 760
5248 -802
460178 -201
441884 852
194488 506
493842 -856
442287 341
467127 -500
329839 113
320999 464
390073 905
211152 -231
380904 -184
368350 -926
212351 -934
331686 978
198179 -66
246528 -291
378085 -587
402914 -75
309919 -244
447069 -441
234098 -803
293411 -711
203662 -590
473753 735
74667 -95
292504 571
70073 -146
353998 -224
489273 684
208754 804
38970 635
378513 55
160048 779
5981 967
194536 50
254878 -366
383599 -710
25275 261
162700 29
180997 368
200286 853
209291 -288
150708 289
85488 -667
265325 -405
360137 -705
282230 2
221351 -370
52782 684
428597 670
196734 828
208656 -666
248118 931
183947 170
249312 -56
180890 951
354798 -818
